DATA,UNIDADE,PRECO
2018-04-18,arroba,99.93
2018-04-19,arroba,99.93
2018-04-20,arroba,99.93
2018-04-23,arroba,99.93
2018-04-24,arroba,99.93
2018-04-25,arroba,99.93
2018-04-26,arroba,99.93
2018-04-27,arroba,99.93
2018-05-02,arroba,99.93
2018-05-03,arroba,99.93
2018-05-04,arroba,99.93
2018-05-07,arroba,99.93
2018-05-08,arroba,99.93
2018-05-09,arroba,107.92
2018-05-10,arroba,107.92
2018-05-11,arroba,107.92
2018-05-14,arroba,107.92
2018-05-15,arroba,107.92
2018-05-16,arroba,110.47
2018-05-17,arroba,110.47
2018-05-18,arroba,110.47
2018-05-21,arroba,111.66
2018-05-22,arroba,111.66
2018-05-23,arroba,111.66
2018-05-24,arroba,111.66
2018-05-25,arroba,111.66
2018-05-28,arroba,111.66
2018-05-29,arroba,111.66
2018-05-30,arroba,112.17
2018-06-04,arroba,112.17
2018-06-05,arroba,112.17
2018-06-06,arroba,112.17
2018-06-07,arroba,112.17
2018-06-08,arroba,112.17
2018-06-11,arroba,112.17
2018-06-12,arroba,115.57
2018-06-13,arroba,115.57
2018-06-14,arroba,115.57
2018-06-15,arroba,115.57
2018-06-18,arroba,115.57
2018-06-19,arroba,115.57
2018-06-20,arroba,110.13
2018-06-21,arroba,110.13
2018-06-25,arroba,114.38
2018-06-26,arroba,114.38
2018-06-27,arroba,114.38
2018-06-28,arroba,114.38
2018-06-29,arroba,114.38
2018-07-03,arroba,111.32
2018-07-04,arroba,108.77
2018-07-05,arroba,108.77
2018-07-06,arroba,108.77
2018-07-09,arroba,108.77
2018-07-10,arroba,110.17
2018-07-11,arroba,110.17
2018-07-12,arroba,112.17
2018-07-13,arroba,112.17
2018-07-16,arroba,112.17
2018-07-17,arroba,107.92
2018-07-18,arroba,103.67
2018-07-19,arroba,113.87
2018-07-20,arroba,107.92
2018-07-23,arroba,107.92
2018-07-24,arroba,107.92
2018-07-25,arroba,107.92
2018-07-26,arroba,107.92
2018-07-27,arroba,107.92
2018-07-30,arroba,107.92
2018-07-31,arroba,107.92
2018-08-01,arroba,107.58
2018-08-02,arroba,101.29
2018-08-03,arroba,101.29
2018-08-06,arroba,101.29
2018-08-07,arroba,107.07
2018-08-08,arroba,107.07
2018-08-09,arroba,107.07
2018-08-10,arroba,107.07
2018-08-13,arroba,107.07
2018-08-14,arroba,107.07
2018-08-15,arroba,103.67
2018-08-16,arroba,103.67
2018-08-17,arroba,103.67
2018-08-20,arroba,107.07
2018-08-21,arroba,107.07
2018-08-22,arroba,107.07
2018-08-23,arroba,107.07
2018-08-24,arroba,107.07
2018-08-27,arroba,107.07
2018-08-28,arroba,107.07
2018-08-29,arroba,107.07
2018-08-30,arroba,107.07
2018-08-31,arroba,107.07
2018-09-03,arroba,107.07
2018-09-04,arroba,107.07
2018-09-05,arroba,107.07
2018-09-06,arroba,107.07
2018-09-10,arroba,105.37
2018-09-11,arroba,105.37
2018-09-12,arroba,105.37
2018-09-13,arroba,101.97
2018-09-14,arroba,101.97
2018-09-17,arroba,101.97
2018-09-18,arroba,103.67
2018-09-19,arroba,103.67
2018-09-20,arroba,103.67
2018-09-21,arroba,89.28
2018-09-24,arroba,89.28
2018-09-25,arroba,89.28
2018-09-26,arroba,89.28
2018-09-27,arroba,89.28
2018-09-28,arroba,89.28
2018-10-01,arroba,89.28
2018-10-02,arroba,89.28
2018-10-03,arroba,89.28
2018-10-04,arroba,89.28
2018-10-05,arroba,89.28
2018-10-08,arroba,89.28
2018-10-09,arroba,89.28
2018-10-10,arroba,89.28
2018-10-11,arroba,89.28
2018-10-15,arroba,89.28
2018-10-16,arroba,89.28
2018-10-17,arroba,89.28
2018-10-18,arroba,89.28
2018-10-19,arroba,89.28
2018-10-22,arroba,89.28
2018-10-23,arroba,89.28
2018-10-24,arroba,89.28
2018-10-25,arroba,89.28
2018-10-26,arroba,89.28
2018-10-29,arroba,89.28
2018-10-30,arroba,89.28
2018-10-31,arroba,89.28
2018-11-01,arroba,89.28
2018-11-05,arroba,89.28
2018-11-06,arroba,89.28
2018-11-07,arroba,89.28
2018-11-08,arroba,89.28
2018-11-09,arroba,89.28
2018-11-12,arroba,89.28
2018-11-13,arroba,89.28
2018-11-14,arroba,89.28
2018-11-19,arroba,89.28
2018-11-20,arroba,89.28
2018-11-21,arroba,89.28
2018-11-22,arroba,89.28
2018-11-23,arroba,89.28
2018-11-26,arroba,89.28
2018-11-27,arroba,89.28
2018-11-28,arroba,89.28
2018-11-29,arroba,89.28
2018-11-30,arroba,89.28
2018-12-03,arroba,89.28
2018-12-04,arroba,89.28
2018-12-05,arroba,89.28
2018-12-06,arroba,89.28
2018-12-07,arroba,89.28
2018-12-10,arroba,89.28
2018-12-11,arroba,89.28
2018-12-12,arroba,89.28
2018-12-13,arroba,89.28
2018-12-14,arroba,89.28
2018-12-17,arroba,89.28
2018-12-18,arroba,89.28
2018-12-19,arroba,89.28
2018-12-20,arroba,89.28
2018-12-21,arroba,89.28
2018-12-26,arroba,89.28
2018-12-27,arroba,89.28
2018-12-28,arroba,89.28
2019-01-02,arroba,89.28
2019-01-03,arroba,89.28
2019-01-04,arroba,89.28
2019-01-07,arroba,89.28
2019-01-08,arroba,89.28
2019-01-09,arroba,89.28
2019-01-10,arroba,89.28
2019-01-11,arroba,89.28
2019-01-14,arroba,89.28
2019-01-15,arroba,89.28
2019-01-16,arroba,89.28
2019-01-18,arroba,89.28
2019-01-21,arroba,89.28
2019-01-22,arroba,89.28
2019-01-23,arroba,89.28
2019-01-24,arroba,89.28
2019-01-25,arroba,89.28
2019-01-28,arroba,89.28
2019-01-29,arroba,89.28
2019-01-30,arroba,89.28
2019-01-31,arroba,89.28
2019-02-01,arroba,89.28
2019-02-04,arroba,89.28
2019-02-05,arroba,89.28
2019-02-06,arroba,89.28
2019-02-07,arroba,89.28
2019-02-08,arroba,89.28
2019-02-11,arroba,89.28
2019-02-12,arroba,89.28
2019-02-13,arroba,89.28
2019-02-14,arroba,89.28
2019-02-15,arroba,89.28
2019-02-18,arroba,89.28
2019-02-19,arroba,89.28
2019-02-20,arroba,89.28
2019-02-21,arroba,89.28
2019-02-22,arroba,89.28
2019-02-25,arroba,89.28
2019-02-26,arroba,89.28
2019-02-27,arroba,89.28
2019-02-28,arroba,89.28
2019-03-07,arroba,89.28
2019-03-08,arroba,89.28
2019-03-11,arroba,89.28
2019-03-12,arroba,89.28
2019-03-13,arroba,89.28
2019-03-14,arroba,89.28
2019-03-15,arroba,95.15
2019-03-18,arroba,95.17
2019-03-19,arroba,95.17
2019-03-20,arroba,95.17
2019-03-21,arroba,95.17
2019-03-22,arroba,91.17
2019-03-25,arroba,92.45
2019-03-26,arroba,92.45
2019-03-27,arroba,92.45
2019-03-28,arroba,92.45
2019-03-29,arroba,92.45
2019-04-01,arroba,92.45
2019-04-02,arroba,92.45
2019-04-03,arroba,95.17
2019-04-04,arroba,95.17
2019-04-05,arroba,95.17
2019-04-08,arroba,95.17
2019-04-09,arroba,100.27
2019-04-10,arroba,100.27
2019-04-11,arroba,100.27
2019-04-12,arroba,94.49
2019-04-15,arroba,94.49
2019-04-16,arroba,94.49
2019-04-17,arroba,99.25
2019-04-18,arroba,99.25
2019-04-22,arroba,99.25
2019-04-23,arroba,99.25
2019-04-24,arroba,99.25
2019-04-25,arroba,99.25
2019-04-26,arroba,99.25
2019-04-29,arroba,99.25
2019-04-30,arroba,99.25
2019-05-02,arroba,100.27
2019-05-03,arroba,100.27
2019-05-06,arroba,100.27
2019-05-07,arroba,100.27
2019-05-08,arroba,100.27
2019-05-09,arroba,100.27
2019-05-10,arroba,100.27
2019-05-13,arroba,100.27
2019-05-14,arroba,100.27
2019-05-15,arroba,100.27
2019-05-16,arroba,100.27
2019-05-17,arroba,100.27
2019-05-20,arroba,100.27
2019-05-21,arroba,100.27
2019-05-22,arroba,100.27
2019-05-23,arroba,100.27
2019-05-24,arroba,100.27
2019-05-27,arroba,100.27
2019-05-28,arroba,100.27
2019-05-29,arroba,100.27
2019-05-30,arroba,100.27
2019-06-03,arroba,93.47
2019-06-04,arroba,93.47
2019-06-05,arroba,93.47
2019-06-06,arroba,93.47
